Table 1: Approved Canada Emergency Wage Subsidy (CEWS) Claims by Province/Territory of Business Address,,,,,,,,
,,,,,,,,
Claim Period,Province or Territory,Applications Approved Since Launch,Number of Eligible Employees (Line A),Number of Eligible Employees on Leave with Pay (Line AA),Number of Employees Supported by the Program (Line A + Line AA),CEWS Amount Approved Since Launch,Average CEWS Amount per Employee,Percent Distribution of Approved Applications for Each Claim Period
"P14: March 14, 2021 to April 10, 2021",Ontario,85440,1651380,14300,1665680,1398835000,840,0.37
"P14: March 14, 2021 to April 10, 2021",Manitoba,6010,116820,500,117310,126918000,1082,0.03
"P14: March 14, 2021 to April 10, 2021",Saskatchewan,6040,77970,920,78900,64507000,818,0.03
"P14: March 14, 2021 to April 10, 2021",Alberta,33430,543860,5930,549790,548227000,997,0.15
"P14: March 14, 2021 to April 10, 2021",British Columbia,31370,495310,4740,500040,426869000,854,0.14
"P14: March 14, 2021 to April 10, 2021",Yukon,170,3360,-,3370,2736000,812,0
"P14: March 14, 2021 to April 10, 2021",Northwest Territories,140,2150,-,2150,1980000,921,0
"P14: March 14, 2021 to April 10, 2021",Nunavut,40,740,20,750,681000,908,0
"P14: March 14, 2021 to April 10, 2021",Missing,320,48040,420,48460,25470000,526,0
"P14: March 14, 2021 to April 10, 2021",All Canada,228020,4042070,37060,4079130,3502231000,859,1
"P15: April 11, 2021 to May 8, 2021",Newfoundland and Labrador,2440,35880,70,35940,33585000,934,0.01
"P15: April 11, 2021 to May 8, 2021",Prince Edward Island,860,13220,10,13240,10836000,818,0
"P15: April 11, 2021 to May 8, 2021",Nova Scotia,4130,71270,2200,73470,58983000,803,0.02
"P15: April 11, 2021 to May 8, 2021",New Brunswick,3960,64620,120,64730,57206000,884,0.02
"P15: April 11, 2021 to May 8, 2021",Quebec,50200,845370,7980,853350,731912000,858,0.23
"P15: April 11, 2021 to May 8, 2021",Ontario,81190,1512020,20460,1532480,1348889000,880,0.37
"P15: April 11, 2021 to May 8, 2021",Manitoba,5820,110350,410,110750,121414000,1096,0.03
"P15: April 11, 2021 to May 8, 2021",Saskatchewan,5880,76110,930,77040,65213000,846,0.03
"P15: April 11, 2021 to May 8, 2021",Alberta,32300,497320,5850,503180,535593000,1064,0.15
